iteration,value
1.0,5.078882217407227
10.0,4.81818962097168
20.0,4.697457790374756
30.0,4.407395362854004
40.0,4.235593318939209
50.0,4.326352119445801
60.0,4.080177307128906
70.0,3.806769371032715
80.0,3.7370212078094482
90.0,3.6676206588745117
100.0,3.670192241668701
110.0,3.6699252128601074
120.0,3.545767307281494
130.0,3.4156739711761475
140.0,3.4359283447265625
150.0,4.001735687255859
160.0,5.223166465759277
170.0,5.2316999435424805
180.0,5.078335762023926
190.0,5.169475555419922
200.0,3.728034496307373
210.0,3.735995292663574
220.0,3.8476552963256836
230.0,4.153937339782715
240.0,4.1231842041015625
250.0,5.220067024230957
260.0,5.203298568725586
270.0,5.100002288818359
280.0,4.603002071380615
290.0,4.112220287322998
300.0,5.082272529602051
310.0,4.436486721038818
320.0,4.3583149909973145
330.0,5.1086225509643555
340.0,5.147618293762207
350.0,4.1961822509765625
360.0,4.842772483825684
370.0,4.008876800537109
380.0,4.832818508148193
390.0,5.159820079803467
400.0,5.217109203338623
410.0,5.216188907623291
420.0,5.182808876037598
430.0,5.195659637451172
440.0,5.18154239654541
450.0,5.147895812988281
460.0,5.166175365447998
470.0,5.095863342285156
480.0,5.115838050842285
490.0,5.173647403717041
500.0,5.164270877838135
510.0,5.115495681762695
520.0,4.880336284637451
530.0,4.707577705383301
540.0,5.096095085144043
550.0,4.928804397583008
560.0,4.887679100036621
570.0,5.132044792175293
580.0,5.112199306488037
590.0,5.0265913009643555
600.0,5.065247058868408
610.0,5.219768524169922
620.0,5.240533828735352
630.0,5.245058536529541
640.0,5.24216365814209
650.0,5.2493438720703125
660.0,5.234441757202148
670.0,5.232301712036133
680.0,5.211127758026123
690.0,5.181802272796631
700.0,5.14634895324707
710.0,5.072514533996582
720.0,5.038992881774902
730.0,5.071020126342773
740.0,5.07130241394043
750.0,5.020575046539307
760.0,5.1569013595581055
770.0,5.061993598937988
780.0,5.1661906242370605
790.0,5.131728172302246
800.0,5.08647346496582
810.0,5.003281593322754
820.0,5.118120193481445
830.0,5.112525939941406
840.0,5.083146572113037
850.0,5.070141792297363
860.0,5.075797080993652
870.0,5.037747383117676
880.0,5.0061774253845215
890.0,4.981560707092285
900.0,4.854760646820068
910.0,4.924528121948242
920.0,4.852188587188721
930.0,4.753671646118164
940.0,3.212623119354248
950.0,3.1166181564331055
960.0,4.567446708679199
970.0,4.119306564331055
980.0,2.7142081260681152
990.0,4.168708801269531
1000.0,2.4778478145599365
1010.0,4.2765913009643555
1020.0,5.151811599731445
1030.0,5.125356674194336
1040.0,5.101051330566406
1050.0,5.0246429443359375
1060.0,4.873119354248047
1070.0,4.863083362579346
1080.0,4.880229949951172
1090.0,4.912353038787842
1100.0,4.952231407165527
1110.0,4.828479290008545
1120.0,4.886645317077637
1130.0,4.947727203369141
1140.0,4.9902496337890625
1150.0,5.006105899810791
1160.0,5.022677898406982
1170.0,5.018729209899902
1180.0,4.9685492515563965
1190.0,4.89918327331543
1200.0,4.967923164367676
1210.0,4.966083526611328
1220.0,4.942437648773193
1230.0,4.8819732666015625
1240.0,4.849874496459961
1250.0,4.863785266876221
1260.0,4.88836669921875
1270.0,4.904605865478516
1280.0,4.702599048614502
1290.0,4.569622039794922
1300.0,4.673687934875488
1310.0,4.643580913543701
1320.0,4.964223861694336
1330.0,5.079981327056885
1340.0,5.057094573974609
1350.0,5.034114837646484
1360.0,5.029397010803223
1370.0,5.029022216796875
1380.0,5.005448818206787
1390.0,4.96076774597168
1400.0,4.941464424133301
1410.0,4.955827236175537
1420.0,4.963019371032715
1430.0,5.00293493270874
1440.0,5.01964807510376
1450.0,4.988178253173828
1460.0,4.960655212402344
1470.0,4.903532028198242
1480.0,4.827077865600586
1490.0,4.890743732452393
1500.0,4.841024398803711
1510.0,4.792121410369873
1520.0,4.766193389892578
1530.0,4.7140703201293945
1540.0,4.635375499725342
1550.0,4.767605304718018
1560.0,4.95071268081665
1570.0,5.060005187988281
1580.0,5.044458389282227
1590.0,5.046863079071045
1600.0,5.054510116577148
1610.0,5.027632713317871
1620.0,5.036570072174072
1630.0,5.043553352355957
1640.0,4.9957733154296875
1650.0,4.984269618988037
1660.0,4.990749359130859
1670.0,4.948292255401611
1680.0,4.928122520446777
1690.0,4.8963422775268555
1700.0,4.908175468444824
1710.0,4.995184898376465
1720.0,5.040337562561035
1730.0,5.052660942077637
1740.0,5.022626876831055
1750.0,4.95258092880249
1760.0,4.923442840576172
1770.0,4.898280143737793
1780.0,4.836429595947266
1790.0,4.7866435050964355
1800.0,4.794334411621094
1810.0,4.724132537841797
1820.0,4.59471321105957
1830.0,4.626487731933594
1840.0,4.693471431732178
1850.0,4.853713035583496
1860.0,4.768123626708984
1870.0,4.736525535583496
1880.0,4.74909782409668
1890.0,4.734898567199707
1900.0,4.694914817810059
1910.0,4.737995624542236
1920.0,4.775669097900391
1930.0,4.7595977783203125
1940.0,4.829295635223389
1950.0,4.9174957275390625
1960.0,4.991217136383057
1970.0,5.003270149230957
1980.0,4.961522102355957
1990.0,4.921672344207764
2000.0,4.881858825683594
2010.0,4.884772300720215
2020.0,4.875328063964844
2030.0,4.84611701965332
2040.0,4.771954536437988
2050.0,4.723206996917725
2060.0,4.703342437744141
2070.0,4.705609321594238
2080.0,4.708038330078125
2090.0,4.7683820724487305
2100.0,4.80002498626709
2110.0,4.843837738037109
2120.0,4.904726982116699
2130.0,4.945612907409668
2140.0,4.95033073425293
2150.0,4.969310760498047
2160.0,4.917779922485352
2170.0,4.854094505310059
2180.0,4.829572677612305
2190.0,4.808676719665527
2200.0,4.826586723327637
2210.0,4.862260818481445
2220.0,4.883333683013916
2230.0,4.877922058105469
2240.0,4.873452186584473
2250.0,4.883548259735107
2260.0,4.881817817687988
2270.0,4.895743370056152
2280.0,4.90373420715332
2290.0,4.906944274902344
2300.0,4.930747985839844
2310.0,4.948768615722656
2320.0,4.962955474853516
2330.0,4.962615966796875
2340.0,4.921449184417725
2350.0,4.87369441986084
2360.0,4.879998683929443
2370.0,4.887964725494385
2380.0,4.876764297485352
2390.0,4.839635848999023
2400.0,4.804751873016357
2410.0,4.774341583251953
2420.0,4.749941825866699
2430.0,4.8551130294799805
2440.0,4.858992576599121
2450.0,4.816837787628174
2460.0,4.860578536987305
2470.0,4.842195510864258
2480.0,4.872422695159912
2490.0,4.883664131164551
2500.0,4.8740034103393555
2510.0,4.804457664489746
2520.0,4.7338104248046875
2530.0,4.727275371551514
2540.0,4.706995964050293
2550.0,4.7274627685546875
2560.0,4.736595153808594
2570.0,4.752660751342773
2580.0,4.773040294647217
2590.0,4.799783229827881
2600.0,4.8352179527282715
