iteration,value,relative_error
1.0,5.058502197265625,0.04754242190442006
10.0,4.994744300842285,0.0595472979020363
20.0,4.821097373962402,0.09224300998636746
30.0,4.802546501159668,0.09573592521941857
40.0,4.7236433029174805,0.11059248674120119
50.0,4.6126203536987305,0.13149682664305581
60.0,4.686198711395264,0.11764287113627118
70.0,3.873467206954956,0.2706708328083306
80.0,4.363320350646973,0.17843713977650674
90.0,4.183036804199219,0.21238245072505765
100.0,4.185052871704102,0.21200284848350562
110.0,4.108224391937256,0.22646876446295314
120.0,4.124695777893066,0.2233673926015691
130.0,4.113953590393066,0.22539002252060508
140.0,4.144833564758301,0.21957567976684225
150.0,4.148105621337891,0.21895958927925238
160.0,4.1429243087768555,0.2199351706313584
170.0,5.240606307983398,0.013254319716927416
180.0,5.169970989227295,0.026554134960027308
190.0,5.252366065979004,0.011040093018451522
200.0,5.229438781738281,0.015357036012374072
210.0,5.211162567138672,0.01879823627590436
220.0,5.21475887298584,0.01812109339374131
230.0,5.186091423034668,0.023518843337475424
240.0,5.203214168548584,0.020294827989345877
250.0,5.217469215393066,0.017610767201456136
260.0,5.210855960845947,0.01885596670194929
270.0,5.223505973815918,0.016474115267196755
280.0,5.220213890075684,0.01709397663798086
290.0,5.226508140563965,0.015908841919795726
300.0,5.231290340423584,0.015008408882774611
310.0,5.240129470825195,0.013344102650123259
320.0,5.2454376220703125,0.012344639037787129
330.0,5.25557804107666,0.010435315180444322
340.0,5.2617506980896,0.009273075110224125
350.0,5.265467643737793,0.008573217145962526
360.0,5.250254154205322,0.011437741629575914
370.0,5.258171081542969,0.009947075589725324
380.0,5.263039588928223,0.00903039184179576
390.0,5.258568286895752,0.009872286406373186
400.0,5.272346019744873,0.007278098334612483
410.0,5.272374629974365,0.007272711358620732
420.0,5.265712738037109,0.008527068718299863
430.0,5.2667036056518555,0.008340499783118899
440.0,5.2711286544799805,0.007507314163061472
450.0,5.27942419052124,0.005945360474253382
460.0,5.271198749542236,0.007494116071881682
470.0,5.2816619873046875,0.005524009168765288
480.0,5.285854816436768,0.004734547837174236
490.0,5.285823345184326,0.004740473510765161
500.0,5.288580894470215,0.004221258808093598
510.0,5.288070201873779,0.004317416329546347
520.0,5.282515048980713,0.0053633875012779235
530.0,5.276760578155518,0.006446887939085363
540.0,5.283097267150879,0.005253762539845799
550.0,5.281120300292969,0.005626002580875766
560.0,5.2766618728637695,0.006465473006256903
570.0,5.275870323181152,0.006614512675362004
580.0,5.278995037078857,0.006026165114129641
590.0,5.264488220214844,0.008757631290746788
600.0,5.244968414306641,0.01243298544405184
610.0,5.240594863891602,0.013256474507324116
620.0,5.248580455780029,0.011752879725093325
630.0,5.232390880584717,0.014801189872958604
640.0,5.238365650177002,0.013676209720014685
650.0,5.218693733215332,0.01738020462900921
660.0,5.210206031799316,0.018978340839895226
670.0,5.182596206665039,0.024176952237800958
680.0,5.1988067626953125,0.02112469164087506
690.0,5.20632266998291,0.019709533047842176
700.0,5.210461616516113,0.018930217187702252
710.0,5.199489593505859,0.02099612248053861
720.0,5.1696271896362305,0.02661886845486151
730.0,5.148699760437012,0.03055926182696069
740.0,5.232753753662109,0.014732865060796567
750.0,5.260299205780029,0.009546374358872274
760.0,5.190641403198242,0.022662134588920683
770.0,5.241269588470459,0.013129431656851997
780.0,5.266636848449707,0.008353069393766318
790.0,5.248422622680664,0.01178259787598115
800.0,5.22974967956543,0.015298497539930381
810.0,5.23499870300293,0.014310167011310536
820.0,5.216516017913818,0.017790243284914627
830.0,5.179948806762695,0.02467542708290428
840.0,5.114773273468018,0.03694722774091176
850.0,5.232996463775635,0.014687165547799882
860.0,5.238774299621582,0.013599265746265847
870.0,5.2050580978393555,0.019947637386677552
880.0,5.188361167907715,0.023091476575463208
890.0,5.176712989807129,0.025284694067571275
900.0,5.18589973449707,0.023554936076620153
910.0,5.198586463928223,0.02116617135601154
920.0,5.183960914611816,0.023919993482994454
930.0,5.215777397155762,0.01792931704843499
940.0,5.209530830383301,0.01910547347330054
950.0,5.2136616706848145,0.018327683923024946
960.0,5.214436054229736,0.018181876439514896
970.0,5.247626304626465,0.011932535374418208
980.0,5.256472587585449,0.010266882397768918
990.0,5.223925590515137,0.016395106285984413
1000.0,5.243409633636475,0.012726485852669053
1010.0,5.2481584548950195,0.011832337620971646
1020.0,5.213563919067383,0.018346089424330095
1030.0,5.20271635055542,0.02038856137160234
1040.0,5.217467308044434,0.01761112633318892
1050.0,5.18424654006958,0.02386621350601014
1060.0,5.202021598815918,0.020519375105268682
1070.0,5.1951904296875,0.021805605406232338
1080.0,5.182799339294434,0.024138704708259528
1090.0,5.188368797302246,0.023090040048532073
1100.0,5.146942615509033,0.030890111935787373
1110.0,5.115819931030273,0.03675015420254688
1120.0,5.190775394439697,0.022636905584692654
1130.0,5.223277568817139,0.016517121292197567
1140.0,5.199828147888184,0.020932376597969562
1150.0,5.156948566436768,0.029006106865605792
1160.0,5.121309280395508,0.035716573075596336
1170.0,5.079317092895508,0.0436232173045551
1180.0,5.0874714851379395,0.04208783936397298
1190.0,5.178630352020264,0.024923676893190787
1200.0,5.184963226318359,0.02373126975741679
1210.0,5.204923629760742,0.01997295617383878
1220.0,5.200982093811035,0.020715101899635623
1230.0,5.208353042602539,0.019327237318294273
1240.0,5.224618911743164,0.016264561901117656
1250.0,5.221323013305664,0.01688514153536733
1260.0,5.220824241638184,0.016979054483490182
1270.0,5.254081726074219,0.010717054024812878
1280.0,5.236660957336426,0.013997183706189825
1290.0,5.257658004760742,0.01004368202584405
1300.0,5.257387638092041,0.010094588948966095
1310.0,5.238936424255371,0.01356873954897926
1320.0,5.205651760101318,0.019835857634848728
1330.0,5.184618949890137,0.02379609303518419
1340.0,5.195655822753906,0.021717977263433195
1350.0,5.214493274688721,0.018171102487531395
1360.0,5.2159857749938965,0.017890081906628406
1370.0,5.199342727661133,0.02102377562396293
1380.0,5.190086841583252,0.02276655214022745
1390.0,5.17329740524292,0.025927809218053103
1400.0,5.159726142883301,0.028483121279740006
1410.0,5.170572757720947,0.026440828898334153
1420.0,5.200309753417969,0.02084169583544176
1430.0,5.196016311645508,0.021650101365937136
1440.0,5.169615745544434,0.02662102324525821
1450.0,5.162923812866211,0.027881036929728677
1460.0,5.130373001098633,0.03400997908140974
1470.0,5.198853492736816,0.021115892913421867
1480.0,5.2122087478637695,0.01860125252047268
1490.0,5.183599472045898,0.0239880489463569
1500.0,5.109667778015137,0.037908533606639656
1510.0,4.919269561767578,0.07375832013414081
1520.0,4.956187725067139,0.06680705609731902
1530.0,5.030721664428711,0.052773175592409904
1540.0,5.062501907348633,0.046789322660773326
1550.0,5.061852931976318,0.04691151723285287
1560.0,5.006485939025879,0.05733648295502185
1570.0,4.990456581115723,0.060354626037333325
1580.0,5.016298294067383,0.05548892975571778
1590.0,5.050380229949951,0.04907169460554486
1600.0,5.148595333099365,0.03057892428933058
1610.0,5.2610039710998535,0.009413675183608817
1620.0,5.251404762268066,0.011221095411774344
1630.0,5.2534589767456055,0.01083431053556665
1640.0,5.249055862426758,0.011663366140697068
1650.0,5.210910797119141,0.01884564166463177
1660.0,5.18067741394043,0.024538238760981032
1670.0,5.220040321350098,0.01712665762566415
1680.0,5.222548484802246,0.01665439939705401
1690.0,5.241886615753174,0.013013252541296576
1700.0,5.230940818786621,0.015074219772807164
1710.0,5.213749885559082,0.018311074080383717
1720.0,5.194649696350098,0.021907419252476423
1730.0,5.144386291503906,0.03137143824065029
1740.0,5.160608291625977,0.028317022853327694
1750.0,5.229165077209473,0.015408571416028485
1760.0,5.2237091064453125,0.01643586773765533
1770.0,5.201437950134277,0.020629269415500397
1780.0,5.2135210037231445,0.01835416988831772
1790.0,5.157135963439941,0.028970822172859827
1800.0,5.089431285858154,0.041718831508538064
1810.0,5.128796577453613,0.0343068014585552
1820.0,5.150773048400879,0.030168885633425162
1830.0,5.221490859985352,0.016853537942882392
1840.0,5.1263837814331055,0.034761103100526165
1850.0,5.127805709838867,0.034493370393736164
1860.0,5.181577205657959,0.024368818366040476
1870.0,5.128483295440674,0.034365788845664866
1880.0,5.093405723571777,0.040970490760350704
1890.0,5.118280410766602,0.03628687426725633
1900.0,5.190736770629883,0.022644178002281516
1910.0,5.248342514038086,0.01179768140875805
1920.0,5.243040084838867,0.012796067625895831
1930.0,5.219367980957031,0.017253251561470288
1940.0,5.217902660369873,0.017529154515181115
1950.0,5.228208065032959,0.015588765762952544
1960.0,5.24908447265625,0.011657979164705318
1970.0,5.230348110198975,0.015185819958769598
1980.0,5.228724479675293,0.015491530846301445
1990.0,5.246787071228027,0.012090553336842893
2000.0,5.2504072189331055,0.011408921308020048
2010.0,5.262618541717529,0.009109670171807692
2020.0,5.264853000640869,0.008688947346851968
2030.0,5.24810791015625,0.011841854611890405
2040.0,5.24064302444458,0.013247406431071336
2050.0,5.236983299255371,0.013936490443349435
2060.0,5.21673583984375,0.017748853352711345
2070.0,5.212615966796875,0.01852457789552343
2080.0,5.238734722137451,0.013606717729721102
2090.0,5.25095796585083,0.011305222020178848
2100.0,5.243836402893066,0.012646130127458771
2110.0,5.228621959686279,0.015510834176938552
2120.0,5.216341018676758,0.0178231936213975
2130.0,5.1890692710876465,0.02295814891966738
2140.0,5.2196197509765625,0.017205846172742883
2150.0,5.236695289611816,0.013990719334999725
2160.0,5.22620964050293,0.015965046035976323
2170.0,5.201777458190918,0.020565343967064956
2180.0,5.211725234985352,0.018692292414733268
2190.0,5.208392143249512,0.019319875117772212
2200.0,5.168407440185547,0.026848533197976476
2210.0,5.1956682205200195,0.021715642907170103
2220.0,5.200569152832031,0.020792853919783222
2230.0,5.1841840744018555,0.023877975070258798
2240.0,5.231122016906738,0.015040102258192745
2250.0,5.235310077667236,0.01425153875593365
2260.0,5.219598770141602,0.017209796621803497
2270.0,5.196890830993652,0.02148543946645596
2280.0,5.202308177947998,0.02046541556241798
2290.0,5.197766304016113,0.02132059800110839
2300.0,5.203957557678223,0.02015485639649356
2310.0,5.2381157875061035,0.013723255977009307
2320.0,5.242700576782227,0.01285999307433127
2330.0,5.234875679016113,0.014333331008075064
2340.0,5.248907566070557,0.011691288632920975
2350.0,5.236834526062012,0.01396450271850654
2360.0,5.193697929382324,0.022086625987135327
2370.0,5.178980350494385,0.024857776220225038
2380.0,5.204183578491211,0.02011229928615873
2390.0,5.250673294067383,0.011358822431296767
2400.0,5.23557710647583,0.014201260313343978
2410.0,5.246182441711426,0.012204398096135221
2420.0,5.229804039001465,0.015288262285546056
2430.0,5.219189643859863,0.017286830378485534
2440.0,5.232043266296387,0.014866641631258374
2450.0,5.232062816619873,0.014862960530997345
2460.0,5.236838340759277,0.013963784455040972
2470.0,5.239442348480225,0.01347347985685847
2480.0,5.22675895690918,0.015861616096934712
2490.0,5.245641708374023,0.012306211942379307
2500.0,5.227663993835449,0.015691208089729
2510.0,5.2326250076293945,0.014757106452759445
2520.0,5.234147071838379,0.014470519329998313
2530.0,5.225754737854004,0.016050698954245157
2540.0,5.252057075500488,0.01109827235916243
2550.0,5.2538557052612305,0.010759611135147708
2560.0,5.236113548278809,0.014100254513498655
2570.0,5.231115341186523,0.015041359219257486
2580.0,5.238183975219727,0.013710417017562301
2590.0,5.234724998474121,0.01436170241496495
2600.0,5.245235443115234,0.012382707001462167
2610.0,5.243281364440918,0.012750637461698733
2620.0,5.231654167175293,0.014939904504746183
2630.0,5.2314453125,0.014979229429485963
2640.0,5.226891040802002,0.015836746224439462
2650.0,5.22397518157959,0.016385768860932046
2660.0,5.244447231292725,0.012531118190034897
2670.0,5.254630088806152,0.010613803651637659
2680.0,5.254616737365723,0.010616317573767142
2690.0,5.228116035461426,0.015606093869059342
2700.0,5.238601207733154,0.013631856951015937
2710.0,5.236738681793213,0.013982549088078902
2720.0,5.237051010131836,0.013923741266835625
2730.0,5.243156433105469,0.012774160590196044
2740.0,5.25233793258667,0.011045390211510077
2750.0,5.243074417114258,0.01278960325470573
2760.0,5.259916305541992,0.009618470054228537
2770.0,5.246484756469727,0.012147475716489057
2780.0,5.229837417602539,0.015281977480222347
2790.0,5.218898773193359,0.017341597967734997
2800.0,5.230332374572754,0.015188782795565061
2810.0,5.249470233917236,0.01158534477174988
2820.0,5.263537406921387,0.0089366584595393
2830.0,5.247601509094238,0.01193720408694439
2840.0,5.21956205368042,0.01721670990765958
2850.0,5.2225446701049805,0.016655117660519577
2860.0,5.197723388671875,0.021328678465096017
2870.0,5.2137532234191895,0.018310445599851344
2880.0,5.2569355964660645,0.010179703169635753
2890.0,5.252536773681641,0.01100795072836741
2900.0,5.255134582519531,0.010518813308316456
2910.0,5.228329658508301,0.015565871114987603
2920.0,5.230169773101807,0.015219398775784843
2930.0,5.2423176765441895,0.012932088769687534
2940.0,5.253706932067871,0.01078762341030481
2950.0,5.260766506195068,0.009458387084340348
2960.0,5.239662170410156,0.013432089924655187
2970.0,5.249873161315918,0.011509478193199392
2980.0,5.252006530761719,0.01110778935008119
2990.0,5.244486331939697,0.012523755989512837
3000.0,5.2360382080078125,0.014114440216943597
