iteration,value
1,8.11157512664795
10,8.056818008422852
20,8.056818008422852
30,9.717294692993164
40,8.746501922607422
50,8.286947250366211
60,8.6768217086792
70,8.464445114135742
80,8.657078742980957
90,8.225954055786133
100,8.22596549987793
110,7.821913242340088
120,7.821913242340088
130,9.154300689697266
140,8.717729568481445
150,8.6742525100708
160,8.464004516601562
170,8.523563385009766
180,8.156164169311523
190,8.195913314819336
200,8.19583511352539
210,8.19583511352539
220,8.195648193359375
230,8.319427490234375
240,9.816831588745117
250,9.866081237792969
260,9.880708694458008
270,9.900449752807617
280,9.884845733642578
290,9.872537612915039
300,9.823640823364258
310,9.839670181274414
320,9.861651420593262
330,9.893736839294434
340,9.845843315124512
350,9.851570129394531
360,9.85246467590332
370,9.779330253601074
380,9.86268138885498
390,9.76890754699707
400,9.785934448242188
410,9.819961547851562
420,9.881821632385254
430,9.816682815551758
440,9.763542175292969
450,9.813274383544922
460,9.8360595703125
470,9.823808670043945
480,9.829303741455078
490,9.870975494384766
500,9.878434181213379
510,9.745676040649414
520,9.222431182861328
530,8.852347373962402
540,8.679346084594727
550,8.6892671585083
560,8.657671928405762
570,8.709846496582031
580,9.617952346801758
590,9.839229583740234
600,9.507638931274414
610,9.540924072265625
620,9.559701919555664
630,9.691035270690918
640,9.673046112060547
650,9.743167877197266
660,9.549497604370117
670,9.63679313659668
680,9.590301513671875
690,9.3792724609375
700,9.817832946777344
710,9.570338249206543
720,9.839561462402344
730,9.796045303344727
740,9.876261711120605
750,9.867117881774902
760,9.890331268310547
770,9.810251235961914
780,9.88439655303955
790,9.880756378173828
800,9.835182189941406
810,9.689342498779297
820,9.521944046020508
830,9.703607559204102
840,9.763467788696289
850,9.733299255371094
860,9.641328811645508
870,9.726705551147461
880,10.222864151000977
890,10.337690353393555
900,10.10744857788086
910,9.751665115356445
920,9.703388214111328
930,9.734540939331055
940,10.221870422363281
950,10.087671279907227
960,9.858585357666016
970,9.750447273254395
980,9.972347259521484
990,10.09660530090332
1000,9.866838455200195
1010,9.894591331481934
1020,9.970932960510254
1030,9.85304069519043
1040,10.099477767944336
1050,9.669188499450684
1060,9.919353485107422
1070,10.200911521911621
1080,10.564977645874023
1090,10.415578842163086
1100,9.713800430297852
1110,9.589176177978516
1120,9.9764404296875
1130,10.043733596801758
1140,10.508914947509766
1150,10.3832426071167
1160,10.00428295135498
1170,8.624009132385254
1180,9.291638374328613
1190,7.620085716247559
1200,9.505355834960938
1210,8.19583511352539
1220,8.200773239135742
1230,9.893941879272461
1240,9.472386360168457
1250,8.967140197753906
1260,9.816803932189941
1270,10.016277313232422
1280,10.250571250915527
1290,10.219799041748047
1300,10.270709037780762
1310,10.006431579589844
1320,9.851662635803223
1330,10.066892623901367
1340,9.990833282470703
1350,9.946922302246094
1360,9.600826263427734
1370,8.944908142089844
1380,9.41966438293457
1390,9.64687728881836
1400,8.911931991577148
1410,9.180992126464844
1420,9.58135986328125
1430,8.196137428283691
1440,8.207332611083984
1450,8.230154037475586
1460,9.557207107543945
1470,9.87877082824707
1480,10.030040740966797
1490,9.845819473266602
1500,9.798582077026367
1510,9.862377166748047
1520,9.97360610961914
1530,10.171792984008789
1540,10.172137260437012
1550,10.038443565368652
1560,9.589086532592773
1570,9.6190824508667
1580,9.626786231994629
1590,9.650291442871094
1600,9.104095458984375
